@attribute userID {am, dummy}


@data


0.7566986083984375,3.049591064453125,-5.1870574951171875,7.534326456655892,6.304301857948303,6.719344139099121,2.8449976444244385,10.884796151483146,3.873118288015156,1.6227355316291898,3.5859131526081875,2.2365421815454503,3.175748400390148,1.3946641832590103,2.9949372932314873,1.6343469618530868,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.1796875,0.3671875,0.234375,0.125,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.3515625,0.5703125,0.078125,0.0,0.0,0.0,0.0,0.0703125,0.1484375,0.2734375,0.28125,0.1875,0.0390625,0.0,0.0,0.0,0.0859375,0.6875,0.1328125,0.078125,0.015625,0.0,0.0,0.0,am

-3.4523162841796875,2.5659637451171875,-0.05389404296875,4.634579918500091,4.053190350532532,9.135262370109558,2.99553382396698,10.761144841460627,2.2284033353283683,2.3869197075233552,1.3243938242844522,2.338705047006603,1.5922620501369238,1.7919618394225836,1.0114286839962006,1.777682970930765,0.03125,0.0,0.015625,0.0,0.0,0.0,0.015625,0.0546875,0.09375,0.65625,0.1640625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0546875,0.453125,0.3203125,0.15625,0.0,0.0,0.0,0.0,0.0078125,0.5859375,0.359375,0.046875,0.0,0.0,0.0,0.015625,0.1171875,0.59375,0.2109375,0.0625,0.0,0.0,0.0,0.0,am

-0.13873291015625,7.021575927734375,1.2365875244140625,7.489618320290383,2.1322933435440063,9.521140336990356,2.5781946182250977,10.14158090014033,1.0092492130014925,0.9853531039638488,0.5725036943632973,1.1451976896744172,0.7309108804911375,0.7300986610352993,0.4480080157518387,0.8038339262704509,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.8046875,0.171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1796875,0.8046875,0.015625,0.0,0.0,0.0,0.0,0.0,0.765625,0.234375,0.0,0.0,0.0,0.0,0.0,0.0859375,0.796875,0.1171875,0.0,0.0,0.0,0.0,0.0,am

-3.85693359375,-1.3485565185546875,-9.288330078125,2.3266722494193357,1.5255876779556274,9.3452969789505,3.503647565841675,10.598363493258486,1.0961656954883197,2.225690030549413,2.8849410615082447,2.022471554987644,0.7934971507638693,1.626093253493309,1.2901278585195541,1.4489261192982517,0.0625,0.015625,0.015625,0.0,0.0,0.0,0.0078125,0.0703125,0.859375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.015625,0.015625,0.359375,0.5390625,0.0625,0.0,0.0078125,0.015625,0.0078125,0.0,0.2265625,0.6953125,0.03125,0.0,0.015625,0.0078125,0.0,0.171875,0.5859375,0.21875,0.0078125,0.0,0.0078125,0.0,0.0,am

0.227569580078125,5.7502593994140625,-0.7793426513671875,7.535746866751893,2.0664154291152954,8.8030287027359,3.9906798601150513,9.938964280608568,0.6107958510326073,0.530275439984349,0.8547180168981702,0.5391737603892421,0.46291954442858696,0.33836338482797146,0.519786337390542,0.3641755635757342,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.9765625,0.0234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.4375,0.5546875,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0234375,0.9609375,0.0078125,0.0,0.0,0.0,0.0,0.03125,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,am
